Date,High,Low,Open,Status,DateTime,year,month,day,30d_avg,Std,RSI,Williams %R
2/14/2011,138.0,138.0,138.0,-1,2011-02-14,2011,2,14,,,44.976270024863894,-99.99999999999999
2/15/2011,138.0,138.0,138.0,0,2011-02-15,2011,2,15,,,44.976270024863894,-99.99999999999999
2/16/2011,138.0,138.0,138.0,0,2011-02-16,2011,2,16,138.96666666666667,3.123695129869081,44.976270024863894,-99.99999999999999
2/17/2011,139.0,139.0,139.0,1,2011-02-17,2011,2,17,138.83333333333334,3.029547972807202,46.86274539498419,-85.71428571428571
2/20/2011,139.0,139.0,139.0,0,2011-02-20,2011,2,20,138.93333333333334,2.981937964309201,46.86274539498419,-85.71428571428571
2/21/2011,139.0,139.0,139.0,0,2011-02-21,2011,2,21,139.0,2.959496695327631,46.86274539498419,-75.0
2/22/2011,135.0,135.0,135.0,-1,2011-02-22,2011,2,22,138.86666666666667,3.048270661045128,40.00974257199329,-100.0
2/23/2011,133.0,133.0,133.0,-1,2011-02-23,2011,2,23,138.9,2.97518472332913,37.08925114596372,-100.0
2/24/2011,135.0,135.0,135.0,1,2011-02-24,2011,2,24,138.73333333333332,3.0505322693649344,41.67421048068069,-66.66666666666667
2/27/2011,136.0,136.0,136.0,1,2011-02-27,2011,2,27,138.63333333333333,3.0904004129956486,43.87667398924679,-50.0
2/28/2011,135.0,135.0,135.0,-1,2011-02-28,2011,2,28,138.43333333333334,3.1259021686252595,42.16210462219491,-66.66666666666667
3/1/2011,132.0,132.0,132.0,-1,2011-03-01,2011,3,1,138.1,3.262641197895798,37.4358704595085,-99.99999999999999
3/3/2011,131.0,131.0,131.0,-1,2011-03-03,2011,3,3,137.76666666666668,3.4609479798951446,35.98772952493496,-100.0
3/7/2011,136.0,136.0,136.0,1,2011-03-07,2011,3,7,137.7,3.4755302249912368,47.02262065683002,-0.0
3/9/2011,137.0,137.0,137.0,1,2011-03-09,2011,3,9,137.73333333333332,3.4634379305612835,48.91922599920673,-0.0
3/10/2011,135.0,135.0,135.0,-1,2011-03-10,2011,3,10,137.73333333333332,3.4634379305612835,45.41718377136622,-33.333333333333336
3/13/2011,134.0,134.0,134.0,-1,2011-03-13,2011,3,13,137.7,3.4953170642032454,43.73144484495113,-50.0
3/14/2011,136.0,136.0,136.0,1,2011-03-14,2011,3,14,137.73333333333332,3.4733798836424445,47.896774720079435,-16.666666666666668
3/15/2011,135.0,135.0,135.0,-1,2011-03-15,2011,3,15,137.73333333333332,3.4733798836424445,46.060787376843585,-33.333333333333336
3/16/2011,130.0,130.0,130.0,-1,2011-03-16,2011,3,16,137.5,3.7485629430397833,38.180234425836,-99.99999999999999
3/17/2011,130.0,130.0,130.0,0,2011-03-17,2011,3,17,137.06666666666666,3.8410965867191913,38.18023442583599,-99.99999999999999
3/20/2011,132.0,132.0,132.0,1,2011-03-20,2011,3,20,136.7,3.7797098958189665,42.726050152566266,-66.66666666666667
3/21/2011,133.0,133.0,133.0,1,2011-03-21,2011,3,21,136.43333333333334,3.747949631035845,44.9074343299406,-50.0
